FormPage,FormReferenceNumber,XPath
1,118,/VALUATION_RESPONSE/PROPERTY/SITE/FLOOD_ZONE/FLOOD_ZONE_EXTENSION/FLOOD_ZONE_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORMAPPRAISALDATASET']/FLOOD_ZONE_EXTENSION_SECTION_DATA/FLOOD_ZONE_INFORMATION[@GSEFEMASpecialFloodHazardAreaIndicator='N']
1,119,/VALUATION_RESPONSE/PROPERTY/SITE/FLOOD_ZONE/FLOOD_ZONE_EXTENSION/FLOOD_ZONE_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORMAPPRAISALDATASET']/FLOOD_ZONE_EXTENSION_SECTION_DATA/FLOOD_ZONE_INFORMATION/@GSENFIPFloodZoneIdentifier
1,120,/VALUATION_RESPONSE/PROPERTY/SITE/FLOOD_ZONE/FLOOD_ZONE_EXTENSION/FLOOD_ZONE_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORMAPPRAISALDATASET']/FLOOD_ZONE_EXTENSION_SECTION_DATA/FLOOD_ZONE_INFORMATION/@GSEFEMAFloodMapIdentifier
1,121,/VALUATION_RESPONSE/PROPERTY/SITE/FLOOD_ZONE/@NFIPMapPanelDate
1,122,/VALUATION_RESPONSE/PROPERTY/PROPERTY_ANALYSIS[@_Type='UtilitiesAndOffSiteImprovementsConformToNeighborhood' and @_ExistsIndicator='Y']
1,123,/VALUATION_RESPONSE/PROPERTY/PROPERTY_ANALYSIS[@_Type='UtilitiesAndOffSiteImprovementsConformToNeighborhood' and @_ExistsIndicator='N']
1,124,/VALUATION_RESPONSE/PROPERTY/PROPERTY_ANALYSIS[@_Type='UtilitiesAndOffSiteImprovementsConformToNeighborhood']/@_Comment
1,125,/VALUATION_RESPONSE/PROPERTY/PROPERTY_ANALYSIS[@_Type='AdverseSiteConditions' and @_ExistsIndicator='Y']
1,126,/VALUATION_RESPONSE/PROPERTY/PROPERTY_ANALYSIS[@_Type='AdverseSiteConditions' and @_ExistsIndicator='N']
1,127,/VALUATION_RESPONSE/PROPERTY/PROPERTY_ANALYSIS[@_Type='AdverseSiteConditions']/@_Comment
1,128,/VALUATION_RESPONSE/PROPERTY/STRUCTURE[@LivingUnitCount='1' and @_AccessoryUnitExistsIndicator='N']
1,129,/VALUATION_RESPONSE/PROPERTY/STRUCTURE[@LivingUnitCount='1' and @_AccessoryUnitExistsIndicator='Y']
1,130,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/STRUCTURE_EXTENSION/STRUCTURE_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORMAPPRAISALDATASET']/STRUCTURE_EXTENSION_SECTION_DATA/STRUCTURE_INFORMATION/@GSEStoriesCount
1,131,/VALUATION_RESPONSE/PROPERTY/STRUCTURE[@AttachmentType='Detached']
1,132,/VALUATION_RESPONSE/PROPERTY/STRUCTURE[@AttachmentType='Attached']
1,133,/VALUATION_RESPONSE/PROPERTY/STRUCTURE[@AttachmentType='SemiDetached']
1,134,/VALUATION_RESPONSE/PROPERTY/STRUCTURE[@BuildingStatusType='Existing']
1,135,/VALUATION_RESPONSE/PROPERTY/STRUCTURE[@BuildingStatusType='Proposed']
1,136,/VALUATION_RESPONSE/PROPERTY/STRUCTURE[@BuildingStatusType='UnderConstruction']
1,137,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/@_DesignDescription
1,e-8,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/STRUCTURE_EXTENSION/STRUCTURE_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORMAPPRAISALDATASET']/STRUCTURE_EXTENSION_SECTION_DATA/STRUCTURE_INFORMATION/@GSEYearBuiltEstimationIndicator
1,138,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/@PropertyStructureBuiltYear
1,139,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/STRUCTURE_ANALYSIS/STRUCTURE_ANALYSIS_EXTENSION/STRUCTURE_ANALYSIS_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORMAPPRAISALDATASET']/STRUCTURE_ANALYSIS_EXTENSION_SECTION_DATA/EFFECTIVE_AGE/@GSEEffectiveAgeDescription
1,140,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/FOUNDATION[@_Type='Slab']/@_ExistsIndicator
1,141,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/FOUNDATION[@_Type='Crawlspace']/@_ExistsIndicator
1,142,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/FOUNDATION[@_Type='Basement']/@_ExistsIndicator
1,143,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/FOUNDATION[@_Type='PartialBasement']/@_ExistsIndicator
1,144,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/BASEMENT/@SquareFeetCount
1,145,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/BASEMENT/@_FinishedPercent
1,146,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/BASEMENT/BASEMENT_FEATURE[@_Type='OutsideEntry']/@_ExistsIndicator
1,147,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/FOUNDATION_FEATURE[@_Type='SumpPump']/@_ExistsIndicator
1,148,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/FOUNDATION/_CONDITION[@_Type='Infestation']/@_ExistsIndicator
1,150,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/FOUNDATION/_CONDITION[@_Type='Dampness']/@_ExistsIndicator
1,151,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/FOUNDATION/_CONDITION[@_Type='Settlement']/@_ExistsIndicator
1,152,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/EXTERIOR_FEATURE[@_Type='Foundation']/@_Description
1,153,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/EXTERIOR_FEATURE[@_Type='Walls']/@_Description
1,154,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/EXTERIOR_FEATURE[@_Type='RoofSurface']/@_Description
1,155,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/EXTERIOR_FEATURE[@_Type='GuttersAndDownspouts']/@_Description
1,156,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/EXTERIOR_FEATURE[@_Type='WindowType']/@_Description
1,157,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/EXTERIOR_FEATURE[@_Type='WindowStormSash']/@_Description
1,158,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/EXTERIOR_FEATURE[@_Type='WindowScreens']/@_Description
1,159,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/INTERIOR_FEATURE[@_Type='Floors']/@_ConditionDescription
1,160,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/INTERIOR_FEATURE[@_Type='Walls']/@_ConditionDescription
1,161,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/INTERIOR_FEATURE[@_Type='TrimAndFinish']/@_ConditionDescription
