FormPage,FormReferenceNumber,XPath
1,35,/VALUATION_RESPONSE/REPORT/@AppraisalPurposeTypeOtherDescription
1,36,/VALUATION_RESPONSE/PARTIES/LENDER/@_UnparsedName
1,37,/VALUATION_RESPONSE/PARTIES/LENDER/@AppraisalFormsUnparsedAddress
1,38,"/VALUATION_RESPONSE/PROPERTY/LISTING_HISTORY/@ListedWithinPreviousYearIndicator,Y"
1,39,"/VALUATION_RESPONSE/PROPERTY/LISTING_HISTORY/@ListedWithinPreviousYearIndicator,N"
1,e-2,/VALUATION_RESPONSE/VALUATION_METHODS/SALES_COMPARISON/COMPARABLE_SALE[@PropertySequenceIdentifier='0']/COMPARISON_DETAIL_EXTENSION/COMPARISON_DETAIL_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORM APPRAISAL DATASET']/COMPARISON_DETAIL_EXTENSION_SECTION_DATA/COMPARISON_DETAIL/@GSEDaysOnMarketDescription
1,40,/VALUATION_RESPONSE/PROPERTY/LISTING_HISTORY/@ListedWithinPreviousYearDescription
1,41,"/VALUATION_RESPONSE/PROPERTY/SALES_CONTRACT/@_ReviewedIndicator,Y"
1,42,"/VALUATION_RESPONSE/PROPERTY/SALES_CONTRACT/@_ReviewedIndicator,N"
1,43,/VALUATION_RESPONSE/PROPERTY/SALES_CONTRACT/@_ReviewComment
1,44,/VALUATION_RESPONSE/PROPERTY/SALES_CONTRACT/@_Amount
1,45,/VALUATION_RESPONSE/PROPERTY/SALES_CONTRACT/@_Date
1,46,"/VALUATION_RESPONSE/PROPERTY/SALES_CONTRACT/@SellerIsOwnerIndicator,Y"
1,47,"/VALUATION_RESPONSE/PROPERTY/SALES_CONTRACT/@SellerIsOwnerIndicator,N"
1,48,/VALUATION_RESPONSE/PROPERTY/SALES_CONTRACT/@DataSourceDescription
1,49,"/VALUATION_RESPONSE/PROPERTY/SALES_CONTRACT/@SalesConcessionIndicator,Y"
1,50,"/VALUATION_RESPONSE/PROPERTY/SALES_CONTRACT/@SalesConcessionIndicator,N"
1,51a,/VALUATION_RESPONSE/PROPERTY/SALES_CONTRACT/@SalesConcessionAmount
1,e-4,"/VALUATION_RESPONSE/PROPERTY/SALES_CONTRACT/SALES_CONCESSION_EXTENSION/SALES_CONCESSION_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORM APPRAISAL DATASET']/SALES_CONCESSION_EXTENSION_SECTION_DATA/SALES_CONCESSION/@GSEUndefinedConcessionAmountIndicator,Y|N"
1,51b,/VALUATION_RESPONSE/PROPERTY/SALES_CONTRACT/@SalesConcessionDescription
1,52,"/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@PropertyNeighborhoodLocationType,Urban"
1,53,"/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@PropertyNeighborhoodLocationType,Suburban"
1,54,"/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@PropertyNeighborhoodLocationType,Rural"
1,55,"/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_BuiltupRangeType,Over75Percent"
1,56,"/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_BuiltupRangeType,25To75Percent"
1,57,"/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_BuiltupRangeType,Under25Percent"
1,58,"/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_GrowthPaceType,Rapid"
1,59,"/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_GrowthPaceType,Stable"
1,60,"/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_GrowthPaceType,Slow"
1,61,"/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_PropertyValueTrendType,Increasing"
1,62,"/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_PropertyValueTrendType,Stable"
1,63,"/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_PropertyValueTrendType,Declining"
1,64,"/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_DemandSupplyType,Shortage"
1,65,"/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_DemandSupplyType,InBalance"
1,66,"/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_DemandSupplyType,OverSupply"
1,67,"/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_TypicalMarketingTimeDurationType,UnderThreeMonths"
1,68,"/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_TypicalMarketingTimeDurationType,ThreeToSixMonths"
1,69,"/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_TypicalMarketingTimeDurationType,OverSixMonths"
1,70,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_HOUSING[@_Type='SingleFamily']/@_LowPriceAmount
1,71,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_HOUSING[@_Type='SingleFamily']/@_HighPriceAmount
1,72,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_HOUSING[@_Type='SingleFamily']/@_PredominantPriceAmount
1,73,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_HOUSING[@_Type='SingleFamily']/@_NewestYearsCount
1,74,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_HOUSING[@_Type='SingleFamily']/@_OldestYearsCount
1,75,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_HOUSING[@_Type='SingleFamily']/@_PredominantAgeYearsCount
1,76,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_PRESENT_LAND_USE[@_Type='SingleFamily']/@_Percent
1,77,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_PRESENT_LAND_USE[@_Type='TwoToFourFamily']/@_Percent
1,78,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_PRESENT_LAND_USE[@_Type='Apartment']/@_Percent
1,79,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_PRESENT_LAND_USE[@_Type='Commercial']/@_Percent
1,81,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_PRESENT_LAND_USE[@_Type='Other']/@_Percent
1,82,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/NEIGHBORHOOD_EXTENSION/NEIGHBORHOOD_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORM APPRAISAL DATASET']/NEIGHBORHOOD_EXTENSION_SECTION_DATA/NEIGHBORHOOD_BOUNDARIES/@GSENeighborhoodBoundariesDescription
1,82,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_BoundaryAndCharacteristicsDescription
1,83,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_Description
1,84,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_MarketConditionsDescription
1,85,/VALUATION_RESPONSE/PROPERTY/SITE/@_DimensionsDescription
1,86,/VALUATION_RESPONSE/PROPERTY/SITE/@_AreaDescription
1,87,/VALUATION_RESPONSE/PROPERTY/SITE/SITE_FEATURE[@_Type='Shape']/@_Comment
1,e-5,/VALUATION_RESPONSE/PROPERTY/SITE/SITE_FEATURE[@_Type='View']/@_Comment
1,e-5,/VALUATION_RESPONSE/VALUATION_METHODS/SALES_COMPARISON/COMPARABLE_SALE[@PropertySequenceIdentifier='0']/COMPARISON_VIEW_OVERALL_RATING_EXTENSION/COMPARISON_VIEW_OVERALL_RATING_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORM APPRAISAL DATASET']/COMPARISON_VIEW_OVERALL_RATING_EXTENSION_SECTION_DATA/COMPARISON_VIEW_OVERALL_RATING/@GSEViewOverallRatingType
1,e-6,/VALUATION_RESPONSE/VALUATION_METHODS/SALES_COMPARISON/COMPARABLE_SALE[@PropertySequenceIdentifier='0']/COMPARISON_VIEW_DETAIL_EXTENSION/COMPARISON_VIEW_DETAIL_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORM APPRAISAL DATASET']/COMPARISON_VIEW_DETAIL_EXTENSION_SECTION_DATA/COMPARISON_VIEW_DETAIL[@_SequenceIdentifier='1']/@GSEViewType
1,89,/VALUATION_RESPONSE/PROPERTY/SITE/@_ZoningClassificationIdentifier
1,90,/VALUATION_RESPONSE/PROPERTY/SITE/@_ZoningClassificationDescription
1,91,"/VALUATION_RESPONSE/PROPERTY/SITE/@_ZoningComplianceType,Legal"
1,92,"/VALUATION_RESPONSE/PROPERTY/SITE/@_ZoningComplianceType,Nonconforming"
1,93,"/VALUATION_RESPONSE/PROPERTY/SITE/@_ZoningComplianceType,NoZoning"
1,94,"/VALUATION_RESPONSE/PROPERTY/SITE/@_ZoningComplianceType,Illegal"
1,95,/VALUATION_RESPONSE/PROPERTY/SITE/@_ZoningComplianceDescription
1,96,"/VALUATION_RESPONSE/PROPERTY/SITE/@HighestBestUseIndicator,Y"
1,97,"/VALUATION_RESPONSE/PROPERTY/SITE/@HighestBestUseIndicator,N"
1,98,/VALUATION_RESPONSE/PROPERTY/SITE/@HighestBestUseDescription
1,99,"/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='Electricity']/@_PublicIndicator,Y|N"
1,100,"/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='Electricity']/@_NonPublicIndicator,Y|N"
1,101,/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='Electricity']/@_NonPublicDescription
1,102,"/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='Gas']/@_PublicIndicator,Y|N"
1,103,"/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='Gas']/@_NonPublicIndicator,Y|N"
1,104,/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='Gas']/@_NonPublicDescription
1,105,"/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='Water']/@_PublicIndicator,Y|N"
1,106,"/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='Water']/@_NonPublicIndicator,Y|N"
1,107,/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='Water']/@_NonPublicDescription
1,108,"/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='SanitarySewer']/@_PublicIndicator,Y|N"
1,109,"/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='SanitarySewer']/@_NonPublicIndicator,Y|N"
1,110,/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='SanitarySewer']/@_NonPublicDescription
